italy;serie-a;ITA1;20
italy;serie-b;ITA2;20
italy;serie-c-group-a;ITA3A;20
italy;serie-c-group-b;ITA3B;20
italy;serie-c-group-c;ITA3C;20
italy;coppa-italia;ITAC;20
italy;coppa-italia-serie-c;ITACB;20
france;ligue-1;FRA1;20
france;ligue-2;FRA2;20
france;national;FRA3;18
france;coupe-de-france;FRAC1;20
france;coupe-de-la-ligue;FRAC2;20
england;premier-league;ENG1;20
england;championship;ENG2;24
england;league-one;ENG3;24
england;league-two;ENG4;24
england;efl-cup;ENGC1;20
england;fa-cup;ENGC2;25
spain;laliga;SPA1;20
spain;laliga2;SPA2;22
spain;copa-del-rey;SPAC;20
spain;primera-rfef-group-1;SPA3A;20
spain;primera-rfef-group-2;SPA3B;20
spain;segunda-rfef-group-1;SPA3C;20
spain;segunda-rfef-group-2;SPA3D;20
germany;bundesliga;GER1;18
germany;2-bundesliga;GER2;18
germany;3-liga;GER3;20
germany;dfb-pokal;GERC;20
europe;champions-league;EUR1;32
europe;europa-league;EUR2;48
europe;conference-league;EUR3;32
usa;mls;USA1;30
netherlands;eredivisie;OLA1;18
netherlands;knvb-beker;OLAC;20
austria;admiral-bundesliga;AUS1;12
austria;2-liga;AUS2;16
austria;ofb-cup;AUSC;11
switzerland;super-league;SWI1;10
switzerland;swiss-cup;SWIC;20
russia;premier-league;RUS1;16
russia;russian-cup;RUSC;16
portugal;liga-portugal;POR1;18
portugal;liga-portugal-2;POR2;18
portugal;league-cup;PORC;18
belgium;jupiler-league;BEL1;18
belgium;belgian-cup;BELC;20
turkey;super-lig;TUR1;21
turkey;1-lig;TUR2;18
turkey;cup;TURC;18
denmark;superliga;DAN1;12
denmark;landspokal-cup;DANC;12
norway;eliteserien;NOR1;16
norway;nm-cup;NORC;16
finland;veikkausliiga;FIN1;16
romania;liga-1;ROM1;16
romania;romanian-cup;ROMC;16
ukraine;premier-league;UKR1;14
ukraine;ukrainian-cup;UKRC;14
greece;super-league;GRE1;14
hungary;otp-bank-liga;HUN1;12
hungary;hungaria-cup;HUNC;20
ireland;premier-division;IRE1;10
ireland;fai-cup;IREC;10
israel;ligat-ha-al;ISR1;14
czech-republic;1-liga;CZE1;18
scotland;premiership;SCO1;12
scotland;championship;SCO2;10
scotland;league-cup;SCOC;10
cyprus;first-division;CYP1;14
cyprus;cup;CYP1C;14
serbia;super-liga;SER1;20
serbia;serbian-cup;SER1C;20
azerbaijan;premier-league;AZE1;8
malta;premier-league;MAL1;16
poland;ekstraklasa;POL1;16
poland;division-1;POL2;18
poland;polish-cup;POLC;20
croatia;1-hnl;CRO1;10
qatar;qsl;QAT1;12
bulgaria;parva-liga;BUL1;14
bulgaria;bulgarian-cup;BULC;20
slovenia;prva-liga;SLO1;10
slovakia;fortuna-liga;SLK1;12
south-korea;k-league-1;SOU1;12
japan;j1-league;JAP1;20
