italy;serie-a;ITA1;20;YHxmuFsJ&d
italy;serie-b;ITA2;20;jwkw4bKJ&d
italy;serie-c-group-a;ITA3A;20;p476sgV8&d
italy;serie-c-group-b;ITA3B;20;vFFXDeCt&d
italy;serie-c-group-c;ITA3C;20;td3iiqQj&d
france;ligue-1;FRA1;20;0W4LIGb1&d
france;ligue-2;FRA2;20;hfwSuv6E&d
france;national;FRA3;18;zJSWvbLK&d
england;premier-league;ENG1;20;6kJqdMr2&d
england;championship;ENG2;24;4AK0LPz9&d
england;league-one;ENG3;24;AHdHU0cr&d
england;league-two;ENG4;24;IXpllt4K&d
spain;laliga;SPA1;20;MPV5cuep&d
spain;laliga2;SPA2;22;0GU9daAj&d
spain;primera-rfef-group-1;SPA3A;20;ClrvKMx0&d
spain;primera-rfef-group-2;SPA3B;20;p2tnI07C&d
spain;segunda-rfef-group-1;SPA3C;20;noKyHK1M&d
spain;segunda-rfef-group-2;SPA3D;18;86D0YJGF&d
germany;bundesliga;GER1;18;jFKYts6j&d
germany;2-bundesliga;GER2;18;8zXO5Qri&d
germany;3-liga;GER3;20;rJjRjvvb&d
netherlands;eredivisie;OLA1;18;SfQjVhXC&d
austria;bundesliga;AUS1;12;nXhNbiaL&d
austria;2-liga;AUS2;16;vJoyhT61&d
switzerland;super-league;SWI1;10;rDNDnYE3&d
russia;premier-league;RUS1;16;rBGSvxB4&d
portugal;liga-portugal;POR1;18;SYQdiOke&d
portugal;liga-portugal-2;POR2;18;KGRHFoc8&d
belgium;jupiler-pro-league;BEL1;18;88GNJ4I9&d
turkey;super-lig;TUR1;20;zLsIuMTj&d
turkey;1-lig;TUR2;19;trp9456i&d
denmark;superliga;DAN1;12;KjbiRMQi&d
sweden;allsvenskan;SWE1;16;G2Box2bE&d
norway;eliteserien;NOR1;16;6VGnwd0q&d
finland;veikkausliiga;FIN1;16;dd
romania;liga-1;ROM1;16;zFSL6HBU&d
ukraine;premier-league;UKR1;16;I1A4Gzb5&d
greece;super-league;GRE1;14;jgPufVmm&d
hungary;otp-bank-liga;HUN1;12;GtCO5ONa&d
ireland;premier-division;IRE1;10;2NLibLys&d
israel;ligat-ha-al;ISR1;14;AJF8eYqC&d
czech-republic;1-liga;CZE1;16;2Rw6ZbEI&d
scotland;premiership;SCO1;12;GMqQMiu6&d
scotland;championship;SCO2;10;8tzevgAt&d
cyprus;first-division;CYP1;12;IctHwQYK&d
serbia;super-liga;SER1;16;WfejbXs0&d
azerbaijan;premier-league;AZE1;8;4UMnUjy6&d
malta;premier-league;MAL1;12;YTIiKu3M&d
poland;ekstraklasa;POL1;18;noYKsAu8&d
poland;division-1;POL2;18;Cb4jY0oP&d
croatia;1-hnl;CRO1;10;Sl7r1khs&d
qatar;qsl;QAT1;12;CQQivob9&d
bulgaria;parva-liga;BUL1;14;vyopi511&d
slovenia;prva-liga;SLO1;10;E76FiIyq&d
slovakia;fortuna-liga;SLK1;12;dzbgeEFF&d
south-korea;k-league-1;SOU1;12;fPdOaMNQ&d
japan;j1-league;JAP1;20;h4SEvN1r&d
